344,666,719,671,719,694,343,690
350,645,710,650,710,673,350,668
273,992,563,996,562,1023,273,1019
346,604,708,609,707,630,346,625
358,583,672,588,672,610,358,605
296,928,446,930,445,954,296,951
418,713,635,716,634,738,418,736
264,1175,768,1188,768,1209,263,1196
414,625,636,628,636,648,413,645
274,958,608,962,607,988,274,984
310,812,484,815,483,841,310,838
578,1219,665,1220,664,1253,578,1251
346,870,480,873,480,897,345,894
386,761,534,762,534,789,386,788
678,783,821,785,821,807,678,805
871,1209,960,1207,960,1241,872,1243
224,784,349,786,348,809,223,806
832,981,902,983,901,1009,831,1007
836,1055,915,1057,915,1082,836,1081
522,1132,688,1130,688,1165,523,1167
407,787,510,790,509,813,407,811
679,1062,782,1063,782,1093,679,1092
687,809,815,811,815,832,687,831
587,760,669,761,669,789,586,787
758,865,832,866,832,888,757,887
795,954,861,955,861,979,794,978
600,1062,666,1063,666,1092,599,1090
243,865,316,867,316,890,242,888
624,961,675,961,675,989,624,988
810,1131,935,1133,935,1157,809,1156
