300,1534,668,1540,667,1574,299,1569
303,1577,636,1581,636,1614,303,1610
75,1061,337,1067,336,1104,74,1099
73,1022,393,1026,393,1062,72,1059
54,1444,382,1447,382,1486,54,1483
175,469,612,472,612,506,175,503
327,559,684,563,684,594,327,591
461,342,693,345,692,382,460,379
359,643,570,646,570,681,359,678
193,515,560,519,559,553,193,548
45,1146,165,1150,163,1188,43,1184
258,599,631,604,630,640,257,635
46,983,319,986,319,1017,46,1014
39,1103,136,1108,134,1141,38,1136
692,1118,860,1117,861,1150,692,1152
463,430,783,436,782,471,462,465
700,1160,866,1159,867,1197,700,1198
70,809,195,812,194,845,69,842
642,1408,831,1410,830,1450,641,1448
383,1447,530,1443,531,1487,384,1491
47,768,249,771,249,805,46,802
96,1403,437,1409,436,1441,96,1435
715,991,835,989,835,1026,715,1027
52,727,238,729,237,761,52,759
120,1240,258,1242,258,1270,119,1268
657,904,759,909,757,946,655,940
591,518,766,521,765,556,590,553
119,431,383,435,383,468,118,465
699,1033,857,1032,858,1067,699,1069
200,1615,412,1614,412,1654,200,1656
44,894,190,897,189,940,44,938
481,1621,679,1618,680,1658,482,1661
404,1241,553,1238,554,1275,405,1279
710,1283,807,1284,807,1323,710,1322
668,603,821,601,822,643,669,645
122,1276,222,1278,221,1314,121,1312
617,1244,782,1240,783,1279,618,1284
72,597,233,594,233,635,73,638
372,729,475,728,475,765,373,766
34,1231,101,1230,101,1264,35,1265
38,1278,113,1280,112,1313,37,1311
158,1525,411,1539,409,1578,155,1564
494,469,760,477,759,514,493,506
260,727,356,723,357,762,262,765
285,979,349,981,349,1006,284,1004
591,1414,687,1416,687,1449,590,1447
246,390,490,396,490,427,245,422
816,735,869,734,869,764,816,764
512,1284,602,1281,604,1321,513,1325
345,1410,538,1412,537,1446,344,1444
305,773,363,772,363,806,306,807
