68,279,442,283,442,313,68,309
32,327,359,330,359,355,32,352
41,367,310,369,309,393,41,390
27,713,254,715,253,740,26,738
40,638,262,640,262,663,40,661
27,788,221,789,221,814,27,813
84,1013,387,1016,386,1045,83,1042
48,1164,202,1166,202,1189,48,1187
32,206,197,209,196,239,32,237
204,973,360,975,360,996,204,995
232,505,491,507,491,533,232,531
110,933,389,936,389,960,110,957
232,401,409,402,409,425,232,423
31,429,216,431,216,450,31,448
29,471,186,473,185,494,28,492
56,1086,199,1088,198,1111,55,1109
28,1207,174,1209,174,1235,28,1233
54,1120,152,1122,152,1146,53,1144
233,472,363,473,363,498,232,496
92,749,199,751,198,773,92,772
297,1086,386,1087,385,1109,296,1107
25,397,109,398,108,421,25,420
230,429,358,431,358,452,229,450
25,504,100,506,100,528,25,526
27,554,93,555,93,578,27,577
534,586,599,588,598,611,533,610
92,823,168,824,168,850,92,848
201,554,280,556,280,582,201,580
472,1015,573,1016,572,1041,472,1040
461,1208,540,1209,539,1231,461,1230
487,934,566,936,565,958,487,956
80,673,185,673,185,698,80,697
410,557,512,559,512,582,409,580
262,823,362,824,362,848,262,847
161,1209,226,1211,226,1232,161,1231
306,1119,389,1121,389,1145,305,1144
513,970,570,972,569,994,512,993
497,1120,558,1121,557,1145,496,1143
446,673,526,675,525,701,445,699
52,588,111,589,110,614,52,613
338,557,401,559,401,582,338,581
266,749,356,750,356,776,265,774
454,749,523,751,523,776,454,774
265,671,359,673,358,700,264,698
539,559,593,561,592,583,538,581
508,1085,554,1087,554,1108,508,1106
459,823,526,824,526,848,458,847
535,675,582,676,581,699,535,698
530,750,580,750,580,774,529,773
535,823,580,824,580,847,535,846
