129,385,515,390,515,426,128,421
109,201,516,206,515,241,108,236
141,340,505,343,505,379,140,376
103,296,518,301,518,333,103,328
153,244,499,247,499,285,153,281
199,430,413,428,413,470,199,472
464,571,586,576,584,618,462,613
369,899,465,896,467,937,371,941
49,722,155,724,154,757,48,754
51,1046,178,1042,180,1082,53,1086
258,1092,598,1096,597,1132,257,1128
48,851,256,848,256,891,49,893
223,527,415,530,415,568,222,565
40,575,159,573,160,617,41,619
395,674,545,671,546,718,396,721
58,756,190,760,189,804,56,800
321,855,477,852,478,893,322,896
396,762,541,758,543,800,397,804
56,677,199,675,200,714,56,716
47,530,172,528,172,569,48,571
42,1091,152,1089,153,1128,43,1131
458,528,552,529,552,560,458,559
